accost	V. approach and speak first to a person. When the two young men accosted me, I was frightened because I thought they were going to attack me.
accoutre	V. equip. The fisherman was accoutred with the best that the sporting goods store could supply. accoutre¬ments, N.
accretion<br growth; increase. The accretion of wealth marked the family's rise in power.	
accrue	V. come about by addition. You must pay the inter¬est that has accrued on your debt as well as the principal sum. accrual, N.
acerbity	N. bitterness of speech and temper. The meeting of the United Nations General Assembly was marked with such acerbity that informed sources held out little hope of reaching any useful settlement of the problem. acerbic,ADJ.
acetic	ADJ. vinegary. The salad had an exceedingly acetic flavor.
acidulous	ADJ. slightly sour; sharp, caustic. James was unpopular because of his sarcastic and acidulous remarks.
acknowledge	"V. recognize; admit. Although I acknowl¬edge that the Beatles' tunes sound pretty dated today, I still prefer them to the ""gangsta rap"" songs my brothers play."
acme	N. top; pinnacle. His success in this role marked the acme of his career as an actor.
acoustics	N. science of sound; quality that makes a room easy or hard to hear in. Carnegie Hall is liked by music lovers because of its fine acoustics.
acquiesce	V. assent; agree without protesting. Although she appeared to acquiesce to her employer's suggestions, I could tell she had reservations about the changes he wanted made. acquiescence, N.; acquiescent,ADJ.
acquire	V. obtain; get. Frederick Douglass was deter¬mined to acquire an education despite his master's efforts to prevent his doing so.
acquittal	N. deliverance from a charge. His acquittal by the jury surprised those who had thought him guilty. acquit,V.
acrid	ADJ. sharp; bitterly pungent. The acrid odor of burnt gunpowder filled the room after the pistol had been fired.
acrimonious	ADJ. bitter in words or manner. The candidate attacked his opponent in highly acrimonious terms. acri¬mony,
acrophobia	N. >Aerobatic guys shall be free of acrophobias
actuarial	ADJ. calculating; pertaining to insurance statis¬tics. According to recent actuarial tables, life expectancy is greater today than it was a century ago.
actuate<br motivate. I fail to understand what actuated you to reply to this letter so nastily.	
acuity	N. sharpness. In time his youthful acuity of vision failed him, and he needed glasses.
acumen	N. mental keenness. His business acumen helped him to succeed where others had failed.
acute	ADJ. quickly perceptive; keen; brief and severe. The acute young doctor realized immediately that the gradual deterioration of her patient's once acute hearing was due to a chronic illness, not an acute one.
adage	N. wise saying; proverb. There is much truth in the old adage about fools and their money.
adamant	ADJ. hard; inflexible. Bronson played the part of a revenge-driven man, adamant in his determination to pun¬ish the criminals who destroyed his family. adamancy, N.
adapt (to)	V. /alter; modify. Some species of animals have become extinct because they could not adapt to a chang¬ing environment.
addendum	N. an addition or supplement. As an adden¬dum to the minutes, let me point out that Susan moved to appoint Kathy and Arthur to the finance committee.
addiction	N. compulsive, habitual need. His addiction to drugs caused his friends much grief.
addle	/bemuddle; drive crazy; become rotten. This idiotic plan is confusing enough to addle anyone. addled,ADJ.
address	V. direct a speech to; deal with or discuss. Due to address the convention in July, Brown planned to address the issue of low-income housing in his speech.
adept atexpert at. She was adept at the fine art of irritat¬ing people. also N.	
adhere	V. stick fast. I will adhere to this opinion until proof that I am wrong is presented. adhesion, N.
adherent	N. supporter; follower. In the wake of the scan¬dal, the senator's one-time adherents quickly deserted him.
adjacent	ADJ. adjoining; neighboring; close by. Philip's best friend Jason lived only four houses down the block, close but not immediately adjacent.
adjunct	N. /something added on or attached (generally nonessential or inferior). Although I don't absolutely need a second computer, I plan to buy a laptop to serve as an adjunct to my desktop model.
admonish	V. warn; reprove. He admonished his listeners to change their wicked ways. admonition, N.
admonition	N. warning. After the student protesters repeatedly rejected Chairman Deng's admonitions, the gov¬ernment issued an ultimatum: either the students would end the demonstration at once or the soldiers would fire on the crowd.
adorn	V. decorate. Wall paintings and carved statues adorned the temple. adornment, N.
adroit	ADJ. skillful. His adroit handling of the delicate situa¬tion pleased his employers.
Word List 2	adulation-amend
adulation<br flattery; admiration. The rock star thrived on the adulation of his groupies and yes men. adulate,V.	
adulterate	V. make impure by adding inferior or tainted substances. It is a crime to adulterate foods without inform¬ing the buyer; when consumers learned that Beech-Nut had adulterated their apple juice by mixing it with water, they protested vigorously.
advent	N. arrival. Most Americans were unaware of the advent of the Nuclear Age until the news of Hiroshima reached them.
adventitious	ADJ. accidental; casual. He found this adven¬titious meeting with his friend extremely fortunate.
adversary	N. opponent. The young wrestler struggled to defeat his adversary.
adverse	ADJ. unfavorable; hostile. The recession had a highly adverse effect on Father's investment portfolio: he lost so much money that he could no longer afford the but¬ler and the upstairs maid. adversity, N.
adversity	N. poverty; misfortune. We must learn to meet adversity gracefully.
advocacy	N. support; active pleading on something's behalf. No threats could dissuade Bishop Desmond Tutu from his advocacy of the human rights of black South Africans.
advocate	V. urge; plead for. The abolitionists advocated freedom for the slaves. also N.
aerie	N. nest of a large bird of prey (eagle, hawk). The mother eagle swooped down on the unwitting rabbit and bore it off to her aerie high in the Rocky Mountains.
aesthetic	ADJ. artistic; dealing with or capable of apprecia¬tion of the beautiful. The beauty of Tiffany's stained glass appealed to Esther's aesthetic sense. aesthete, N.
affable	ADJ. easily approachable; warmly friendly. Accus¬tomed to cold, aloof supervisors, Nicholas was amazed at how affable his new employer was.
affected	"ADJ. artificial; pretended; assumed in order to impress. His affected mannerisms-his ""Harvard"" accent, his air of boredom, his use of obscure foreign words¬bugged us: he acted as if he thought he was too good for his old high school friends. affectation, N."
affidavit	N. written statement made under oath. The court refused to accept his statement unless he presented it in the form of an affidavit.
affiliation	N. joining; associating with. His affiliation with the political party was of short duration for he soon disagreed with his colleagues.
affinity	N. kinship. She felt an affinity with all who suffered; their pains were her pains.
affirmation	N. positive assertion; confirmation; solemn pledge by one who refuses to take an oath. Despite Tom's affirmations of innocence, Aunt Polly still suspected he had eaten the pie.
affix	V. fasten; attach; add on. First the registrar had to affix her signature to the license; then she had to affix her official seal.
affliction	N. state of distress; cause of suffering. Even in the midst of her affliction, Elizabeth tried to keep up the spirits of those around her.
affluence	N. abundance; wealth. Foreigners are amazed by the affluence and luxury of the American way of life.
affront	N. insult; offense; intentional act of disrespect. When Mrs. Proudie was not seated beside the Archdeacon at the head table, she took it as a personal affront and refused to speak to her hosts for a week. alsoV.
aftermath	N. consequences; outcome; upshot. People around the world wondered what the aftermath of China's violent suppression of the student protests would be.
agenda	N. items of business at a meeting. We had so much difficulty agreeing upon an agenda that there was very little time for the meeting.
agent	"N. means or instrument; personal representative; per¬son acting in an official capacity. °I will be the agent of America's destruction,"" proclaimed the beady-eyed villain, whose agent had gotten him the role. With his face, he could never have played the part of the hero, a heroic F.B.I. agent."
agglomeration	N. collection; heap. It took weeks to assort the agglomeration of miscellaneous items she had col¬lected on her trip.
aggrandize	V. increase or intensify. The history of the past quarter century illustrates how a President may aggrandize his power to act aggressively in international affairs without considering the wishes of Congress.
aggregate	V. gather; accumulate. Before the Wall Street scandals, dealers in so-called junk bonds managed to aggregate great wealth in short periods of time. aggrega¬tion, N.
aggressor	N. attacker. Before you punish both boys for fighting, see whether you can determine which one was the aggressor.
aghast	ADJ. horrified. He was aghast at the nerve of the speaker who had insulted his host.
agility	N. nimbleness. The agility of the acrobat amazed and thrilled the audience.
agitate	V. stir up; disturb. Her fiery remarks agitated the already angry mob.
agnostic	N. one who is skeptical of the existence or knowability of a god or any ultimate reality. Agnostics say we can neither prove nor disprove the existence of god; we simply just can't know. alsoADJ.
agrarian	ADJ. pertaining to land or its cultivation. The country is gradually losing its agrarian occupation and turn¬ing more and more to an industrial point of view.
alacrity	N. cheerful promptness. Phil and Dave were raring to get off to the mountains; they packed up their ski gear and climbed into the van with alacrity.
alchemy	N. medieval chemistry. The changing of baser metals into gold was the goal of the students of alchemy. alchemist, N.
alcove<br nook; small, recessed section of a room. Though their apartment lacked a full-scale dining room, an alcove adjacent to the living room made an adequate breakfast nook for the young couple.	
alias	N. an assumed name. John Smith's alias was Bob Jones. also ADV.
alienate	V. make hostile; separate. Her attempts to alien¬ate the two friends failed because they had complete faith in each other.
alimentary	"ADJ. supplying nourishment. The alimentary canal in our bodies is so named because digestion of foods occurs there. When asked for the name of the digestive tract, Sherlock Holmes replied, ""Alimentary, my dear Watson."""
alimony	N. payment by a husband to his divorced wife (or vice versa). Mrs. Jones was awarded $200 monthly alimony by the court when she was divorced from her husband.
allay	V. calm; pacify. The crew tried to allay the fears of the passengers by announcing that the fire had been con¬trolled.
allege	V. state without proof. Although it is alleged that she has worked for the enemy, she denies the allegation and, legally, we can take no action against her without proof. allegation, N.
allegiance	N. loyalty. Not even a term in prison could shake Lech Walesa's allegiance to Solidarity, the Polish trade union he had helped to found.
allegory	N. story in which characters are used as symbols; fable. Pilgrim's Progress is an allegory of the temptations and victories of man's soul. allegorical,ADJ.
alleviate	V. relieve. This should alleviate the pain; if it does not, we shall have to use stronger drugs.
alliteration	"N. repetition of beginning sound in poetry. ""The furrow followed free"" is an example of alliteration."
allocate	V. assign. Even though the Red Cross had allo¬cated a large sum for the relief of the sufferers of the disas¬ter, many people perished.
alloy	N. a mixture as of metals. Alloys of gold are used more frequently than the pure metal.
allude	V. refer indirectly. Try not to mention divorce in Jack's presence because he will think you are alluding to his marital problems with Jill.
allure	V. entice; attract. Allured by the song of the sirens, the helmsman steered the ship toward the reef. also N.
allusion	"N. indirect reference. When Amanda said to the ticket scalper, ""One hundred bucks? What do you want, a pound of flesh?,"" she was making an allusion to Shake¬speare's Merchant of Venice."
aloft	ADV. upward. The sailor climbed aloft into the rigging. To get into a loft bed, you have to climb aloft.
aloof	ADJ. apart; reserved. Shy by nature, she remained aloof while all the rest conversed.
altercation	N. noisy quarrel; heated dispute. In that hot¬tempered household, no meal ever came to a peaceful con¬clusion; the inevitable altercation might even end in blows.
altruistic	ADJ. unselfishly generous; concerned for others. In providing tutorial assistance and college scholarships for hundreds of economically disadvantaged youths, Eugene Lang performed a truly altruistic deed. altruism, N.
amalgamate	V. combine; unite in one body. The unions will attempt to amalgamate their groups into one national body.
amass	V. collect. The miser's aim is to amass and hoard as much gold as possible.
ambidextrous	ADJ. /capable of using either hand with equal ease. A switch-hitter in baseball should be naturally ambidextrous.
ambience	N. environment; atmosphere. She went to the restaurant not for the food but for the ambience.
ambiguous	ADJ. unclear or doubtful in meaning. His ambiguous instructions misled us; we did not know which road to take. ambiguity, N.
ambivalence	N. the state of having contradictory or con¬flicting emotional attitudes. Torn between loving her parents one minute and hating them the next, she was confused by the ambivalence of her feelings. ambivalent,ADJ.
amble	N. moving at an easy pace. When she first mounted the horse, she was afraid to urge the animal to go faster than a gentle amble. alsoV.
ambulatory	ADJ. able to walk; not bedridden. Juan was a highly ambulatory patient; not only did he refuse to be con¬fined to bed, but he insisted on riding his skateboard up and down the halls.
ameliorate	V. improve. Many social workers have attempted to ameliorate the conditions of people living in the slums.
a'menable<br readily managed; willing to be led. He was amenable to any suggestions that came from those he looked up to; he resented advice from his inferiors.	
amend	V. correct; change, generally for the better. Hoping to amend his condition, he left Vietnam for the United States.
Word List 3	amenities-apostate
amenities	N. convenient features; courtesies. In addition to the customary amenities for the business traveler-fax machines, modems, a health club-the hotel offers the ser¬vices of a butler versed in the social amenities.
amiable	ADJ. agreeable; lovable; warmly friendly. In Little Women, Beth is the amiable daughter whose loving disposi¬tion endears her to all who know her.
amicable	ADJ. politely friendly; not quarrelsome. Beth's sis¬ter Jo is the hot-tempered tomboy who has a hard time maintaining amicable relations with those around her. Jo's quarrel with her friend Laurie finally reaches an amicable settlement, but not because Jo turns amiable overnight.
amiss	ADJ. wrong; faulty. Seeing her frown, he wondered if anything were amiss. also ADV.
amity<br friendship. Student exchange programs such as the Experiment in International Living were established to promote international amity.	
amnesia	N. loss of memory. Because she was suffering from amnesia, the police could not get the young girl to identify herself.
amnesty	N. pardon. When his first child was born, the king granted amnesty to all in prison.
amoral<br nonmoral. The amoral individual lacks a code of ethics; he cannot tell right from wrong. The immoral per¬son can tell right from wrong; he chooses to do something he knows is wrong.	
amorous	"ADJ. moved by sexual love; loving. ""Love them and leave them"" was the motto of the amorous Don Juan."
amorphous	ADJ. formless; lacking shape or definition. As soon as we have decided on our itinerary, we shall send you a copy; right now, our plans are still amorphous.
amphibian	ADJ. able to live both on land and in water. Frogs are classified as amphibian. also N.
amphitheater	N. oval building with tiers of seats. The spec¬tators in the amphitheater cheered the gladiators.
ample	ADJ. abundant. Bond had ample opportunity to escape. Why did he let us catch him?
amplify	V. broaden or clarify by expanding; intensify; make stronger. Charlie Brown tried to amplify his remarks, but he was drowned out by jeers from the audience. Lucy was smarter: she used a loudspeaker to amplify her voice.
amputate	V. cut off part of body; prune. When the doctors had to amputate the young man's leg to prevent the spread of cancer, he did not let the loss of a limb keep him from participating in sports.
amulet	N. charm; talisman. Around her neck she wore the amulet that the witch doctor had given her.
anachronistic	ADJ. having an error involving time in a story. The reference to clocks in Julius Caesar is anachronistic: clocks did not exist in Caesar's time. anachronism, N.
analgesic	ADJ. N.causing insensitivity to pain. The analgesic qualities of this lotion will provide temporary relief.
analogous	ADJ. comparable. She called our attention to the things that had been done in an analogous situation and recommended that we do the same.
analogy	N. similarity; parallelism. A well-known analogy compares the body's immune system with an army whose defending troops are the lymphocytes or white blood cells.
anarchist	N. person who seeks to overturn the established government; advocate of abolishing authority. Denying she was an anarchist, Katya maintained she wished only to make changes in our government, not to destroy it entirely. anarchy, N.
anarchy	N. absence of governing body; state of disorder. The assassination of the leaders led to a period of anarchy.
anathema<br >The anathema of feminists is Adult Videos	
ancestry	N. family descent. David can trace his ancestry as far back as the seventeenth century, when one of his ancestors was a court trumpeter somewhere in Germany. ancestral,ADJ.
anchor	V. secure or fasten firmly; be fixed in place. We set the post in concrete to anchor it in place. anchorage, N.
ancillary	ADJ. serving as an aid or accessory; auxiliary. In an ancillary capacity, Doctor Watson was helpful; however, Holmes could not trust the good doctor to solve a perplex¬ing case on his own. also N.
anecdote	N. short account of an amusing or interesting event. Rather than make concrete proposals for welfare reform, President Reagan told anecdotes about poor people who became wealthy despite their impoverished back¬grounds.
anemia	N. condition in which blood lacks red corpuscles. The doctor ascribes her tiredness to anemia. anemic,ADJ.
anesthetic<br substance that removes sensation with or with¬out loss of consciousness. His monotonous voice acted like an anesthetic; his audience was soon asleep. anesthesia, N.	
anguish	N. acute pain; extreme suffering. Visiting the site of the explosion, the governor wept to see the anguish of the victims and their families.
angular	ADJ. sharp-cornered; stiff in manner. Mr. Spock's features, though angular, were curiously attractive, in a Vul¬can way.
animated	ADJ. lively; spirited. Jim Carrey's facial expres¬sions are highly animated: when he played Ace Ventura, he looked practically rubber-faced.
animosity	N. active enmity. He incurred the animosity of the ruling class because he advocated limitations of their power.
animus	N. hostile feeling or intent. The animus of the speaker became obvious to all when he began to indulge in sarcastic and insulting remarks.
annals	N. records; history. In the annals of this period, we find no mention of democratic movements.
annex	V. /attach; take possession of. Mexico objected to the United States' attempts to annex the territory that later became the state of Texas.
annihilate	V. destroy. The enemy in its revenge tried to annihilate the entire population.
annotate	V. comment; make explanatory notes. In the appendix to the novel, the editor sought to annotate many of the author's more esoteric references.
annuity	N. yearly allowance. The annuity he setup with the insurance company supplements his social security bene¬fits so that he can live very comfortably without working.
"annul not to be confused with ""annals"""	v. /make void. The parents of the eloped couple tried to annul the marriage.
anoint	V. consecrate. The prophet Samuel anointed David with oil, crowning him king of Israel.
anomalous	ADJ. abnormal; irregular. He was placed in the anomalous position of seeming to approve procedures which he despised.
*anomaly	N. irregularity. A bird that cannot fly is an anomaly.
anonymity	N. state of being nameless; anonymousness. The donor of the gift asked the college not to mention him by name; the dean readily agreed to respect his anonymity.
anonymous	ADJ. having no name. She tried to ascertain the identity of the writer of the anonymous letter.
antagonism	N. hostility; active resistance. Barry showed his antagonism toward his new stepmother by ignoring her whenever she tried talking to him. antagonistic,ADJ.
antecede	V. precede. The invention of the radiotelegraph anteceded the development of television by a quarter of a century.
antecedents	N. /preceding events or circumstances that influence what comes later; ancestors or early background. Susi Bechhofer's ignorance of her Jewish background had its antecedents in the chaos of World War II. Smuggled out of Germany and adopted by a Christian family, she knew nothing of her birth and antecedents until she was reunited with her family in 1989.
antediluvian	"ADJ. antiquated; extremely ancient. Looking at his great-aunt's antique furniture, which must have been clut¬tering up her attic since the time of Noah's flood, the young heir exclaimed, ""Heavens! How positively antediluvian!"""
anthem	N. song of praise or patriotism. Let us now all join in singing the national anthem.
anthology	N. book of literary selections by various authors. This anthology of science fiction was compiled by the late Isaac Asimov. anthologize,V.
anthropocentric	ADJ. regarding human beings as the cen¬ter of the universe. Without considering any evidence that might challenge his anthropocentric viewpoint, Hector cate¬gorically maintained that dolphins could not be as intelligent as men. anthropocentrism, N.
anthropoid	ADJ. manlike. The gorilla is the strongest of the anthropoid animals. also N.
anthropologist	N. a student of the history and science of mankind. Anthropologists have discovered several relics of prehistoric man in this area.
anthropomorphic	ADJ. having human form or characteris¬tics. Primitive religions often have deities with anthropomor¬phic characteristics. anthropomorphism, N.
anticlimax	N. letdown in thought or emotion. After the fine performance in the first act, the rest of the play was an anti¬climax. anticlimactic,ADJ.
antidote	N. medicine to counteract a poison or disease. When Marge's child accidentally swallowed some cleaning fluid, the local poison control hotline instructed Marge how to administer the antidote.
antipathy	N. aversion; dislike. Tom's extreme antipathy for disputes keeps him from getting into arguments with his temperamental wife. Noise in any form is antipathetic to him. Among his other antipathies are honking cars, boom boxes, and heavy metal rock.
antiquated	ADJ. old-fashioned; obsolete. Philip had grown so accustomed to editing his papers on word processors that he thought typewriters were too antiquated for him to use.
antiseptic	N. substance that prevents infection. It is advis¬able to apply an antiseptic to any wound, no matter how slight or insignificant. alsoADJ.
antithesis	N. contrast; direct opposite of or to. This tyranny was the antithesis of all that he had hoped for, and he fought it with all his strength.
apathy<br lack of caring; indifference. A firm believer in democratic government, she could not understand the apathy of people who never bothered to vote. apathetic,ADJ.	
ape	V. imitate or mimic. He was suspended for a week because he had aped the principal in front of the whole school.
aperture	N. opening; hole. She discovered a small aper¬ture in the wall, through which the insects had entered the room.
apex	N. tip; summit; climax. He was at the apex of his career: he had climbed to the top of the heap.
aphasia	N. loss of speech due to injury or illness. After the automobile accident, the victim had periods of aphasia when he could not speak at all or could only mumble inco¬herently.
aphorism	"N. pithy maxim. An aphorism differs from an adage in that it is more philosophical or scientific. ""The proper study of mankind is man"" is an aphorism. ""There's no smoke without a fire"" is an adage. aphoristic,ADJ."
apiary<br a place where bees are kept. Although he spent many hours daily in the apiary, he was very seldom stung by a bee.	
aplomb	N. poise; assurance. Gwen's aplomb in handling potentially embarrassing moments was legendary around the office; when one of her clients broke a piece of her best crystal, she coolly picked up her own goblet and hurled it into the fireplace.
apocalyptic	ADJ. prophetic; pertaining to revelations. The crowd jeered at the street preacher's apocalyptic predictions of doom. The Apocalypse or Book of Revelations of Saint John prophesies the end of the world as we know it and fore¬tells marvels and prodigies that signal the coming doom.
apocryphal	ADJ. untrue; made up. To impress his friends, Tom invented apocryphal tales of his adventures in the big city.
apogee	N. highest point. When the moon in its orbit is far¬thest away from the earth, it is at its apogee.
apolitical	ADJ. having an aversion or lack of concern for political affairs. It was hard to remain apolitical during the Vietnam War; even people who generally ignored public issues felt they had to take political stands.
apologist	N. one who writes in defense of a cause or insti¬tution. Rather than act as an apologist for the current regime in Beijing and defend its brutal actions, the young diplomat decided to defect to the West.
apostate<br >A renegaded apostle might probably be an apostate	
Word List 4	apotheosis-astigmatism
apotheosis	N. elevation to godhood; an ideal example of something. The apotheosis of a Roman emperor was designed to insure his eternal greatness: people would worship at his altar forever. The hero of the musical How to Succeed in Business ... was the apotheosis of yuppieness: he was the perfect upwardly-bound young man on the make.
appall	V. dismay; shock. We were appalled by the horrify¬ing conditions in the city's jails.
apparatus	N. equipment. Firefighters use specialized apparatus to fight fires.
apparition	N. ghost; phantom. On the castle battlements, an apparition materialized and spoke to Hamlet, warning him of his uncle's treachery. In Ghostbusters, hordes of apparitions materialized, only to be dematerialized by the specialized apparatus wielded by Bill Murray.
appease	V. pacify or soothe; relieve. Tom and Jody tried to appease the crying baby by offering him one toy after another, but he would not calm down until they appeased his hunger by giving him a bottle.
appellation	N. name; title. Macbeth was startled when the witches greeted him with an incorrect appellation. Why did they call him Thane of Cawdor, he wondered, when the holder of that title still lived?
append	V. attach. When you append a bibliography to a text, you have just created an appendix.
application	N. diligent attention. Pleased with how well Tom had whitewashed the fence, Aunt Polly praised him for his application to the task. apply, V. (secondary meaning)
apposite	ADJ. appropriate; fitting. He was always able to find the apposite phrase, the correct expression for every occasion.
appraise	V. estimate value of. It is difficult to appraise the value of old paintings; it is easier to call them priceless. appraisal, N.
appreciate<br be thankful for; increase in worth; be thor¬oughly conscious of. Little Orphan Annie truly appreciated the stocks Daddy Warbucks gave her, which appreciated in value considerably over the years.	
apprehend	V. arrest (a criminal); dread; perceive. The police will apprehend the culprit and convict him before long.
apprehension	N. fear. His nervous glances at the passersby on the deserted street revealed his apprehension.
apprenticeship	N. time spent as a novice learning a trade from a skilled worker. As a child, Pip had thought it would be wonderful to work as Joe's apprentice; now he hated his apprenticeship and scorned the blacksmith's trade.
apprise	V. inform. When he was apprised of the danger¬ous weather conditions, he decided to postpone his trip.
approbation<br approval. She looked for some sign of approbation from her parents, hoping her good grades would please them.	
appropriate	V. acquire; take possession of for one's own use. The ranch owners appropriated the lands that had originally been set aside for the Indians' use.
apropos	PREP. with reference to; regarding. I find your remarks apropos of the present situation timely and perti¬nent. also ADJ. and ADV.
aptitude	N. fitness; talent. The counselor gave him an apti¬tude test before advising him about the career he should follow.
aquatic	ADJ. pertaining to water. Paul enjoyed aquatic sports such as scuba diving and snorkeling.
aquiline	ADJ. curved, hooked. He can be recognized by his aquiline nose, curved like the beak of the eagle.
arable	ADJ. fit for growing crops. The first settlers wrote home glowing reports of the New World, praising its vast acres of arable land ready for the plow.
arbiter	N. a person with power to decide a dispute; judge. As an arbiter in labor disputes, she has won the confidence of the workers and the employers.
arbitrary	ADJ. capricious; randomly chosen; tyrannical. Tom's arbitrary dismissal angered him; his boss had no rea¬son to fire him. He threw an arbitrary assortment of clothes into his suitcase and headed off, not caring where he went.
arbitrator	N. judge. Because the negotiating teams had been unable to reach a contract settlement, an outside arbi¬trator was called upon to mediate the dispute between union and management. arbitration, N.
arboretum	N. place where different tree varieties are exhibited. Walking along the tree-lined paths of the arbore¬tum, Rita noted poplars, firs, and some particularly fine sycamores.
arcade	N. a covered passageway, usually lined with shops. The arcade was popular with shoppers because it gave them protection from the summer sun and the winter rain.
arcane	ADJ. /secret; mysterious; known only to the initiated. Secret brotherhoods surround themselves with arcane ritu¬als and trappings to mystify outsiders. So do doctors. Con¬sider the arcane terminology they use and the impression they try to give that what is arcane to us is obvious to them.
archaeology	N. study of artifacts and relics of early mankind. The professor of archaeology headed an expedi¬tion to the Gobi Desert in search of ancient ruins.
archaic	"ADJ. antiquated. ""Methinks,"" ""thee,"" and ""thou"" are archaic words that are no longer part of our normal vocabulary."
